DATE_TIME;ROOT_DISK_SIZE_VALUE;ROOT_DISK_USED_VALUE;ROOT_DISK_FREE
24-04-24 07:58;51123825;23180889;27942936
24-04-24 08:03;51123825;23180890;27942935
24-04-24 08:08;51123825;23181014;27942811
24-04-24 08:13;51123825;23180896;27942929
24-04-24 08:18;51123825;23180896;27942929
24-04-24 08:23;51123825;23180897;27942928
24-04-24 08:28;51123825;23180897;27942928
24-04-24 08:33;51123825;23180899;27942926
24-04-24 08:38;51123825;23180899;27942926
24-04-24 08:43;51123825;23180900;27942925
24-04-24 08:48;51123825;23180900;27942925
24-04-24 08:53;51123825;23180901;27942924
24-04-24 08:58;51123825;23180901;27942924
24-04-24 09:03;51123825;23180904;27942921
24-04-24 09:08;51123825;23180904;27942921
24-04-24 09:13;51123825;23180906;27942919
24-04-24 09:18;51123825;23180931;27942894
24-04-24 09:23;51123825;23180905;27942920
24-04-24 09:28;51123825;23180906;27942919
24-04-24 09:33;51123825;23180908;27942917
24-04-24 09:38;51123825;23180912;27942913
24-04-24 09:43;51123825;23180913;27942912
24-04-24 09:48;51123825;23180913;27942912
24-04-24 09:53;51123825;23180914;27942911
24-04-24 09:58;51123825;23180914;27942911
24-04-24 10:03;51123825;23180917;27942908
24-04-24 10:08;51123825;23180914;27942911
24-04-24 10:13;51123825;23180915;27942910
24-04-24 10:18;51123825;23181440;27942385
24-04-24 10:23;51123825;23180921;27942904
24-04-24 10:28;51123825;23181472;27942353
24-04-24 10:33;51123825;23181474;27942351
24-04-24 10:38;51123825;23181475;27942350
24-04-24 10:43;51123825;23181476;27942349
24-04-24 10:48;51123825;23181000;27942825
24-04-24 10:53;51123825;23180958;27942867
24-04-24 10:58;51123825;23180959;27942866
24-04-24 11:03;51123825;23180962;27942863
24-04-24 11:08;51123825;23181486;27942339
24-04-24 11:13;51123825;23180976;27942849
24-04-24 11:18;51123825;23188939;27934886
24-04-24 11:23;51123825;23188956;27934869
24-04-24 11:28;51123825;23188921;27934904
24-04-24 11:33;51123825;23188927;27934898
24-04-24 11:38;51123825;23188927;27934898
24-04-24 11:43;51123825;23188929;27934896
24-04-24 11:48;51123825;23188929;27934896
24-04-24 11:53;51123825;23188933;27934892
24-04-24 11:58;51123825;23188933;27934892
24-04-24 12:03;51123825;23195628;27928197
24-04-24 12:08;51123825;23202027;27921798
24-04-24 12:13;51123825;23202539;27921286
24-04-24 12:18;51123825;23202093;27921732
24-04-24 12:23;51123825;23202020;27921805
24-04-24 12:28;51123825;23202557;27921268
24-04-24 12:33;51123825;23202559;27921266
24-04-24 12:38;51123825;23202054;27921771
24-04-24 12:43;51123825;23202053;27921772
24-04-24 12:48;51123825;23202053;27921772
24-04-24 12:53;51123825;23202055;27921770
24-04-24 12:58;51123825;23202055;27921770
24-04-24 13:03;51123825;23202056;27921769
24-04-24 13:08;51123825;23202056;27921769
24-04-24 13:13;51123825;23208505;27915320
24-04-24 13:18;51123825;23220539;27903286
24-04-24 13:23;51123825;23220522;27903303
24-04-24 13:28;51123825;23220532;27903293
24-04-24 13:33;51123825;23220526;27903299
24-04-24 13:38;51123825;23221019;27902806
24-04-24 13:43;51123825;23220520;27903305
24-04-24 13:48;51123825;23220520;27903305
24-04-24 13:53;51123825;23220535;27903290
24-04-24 13:58;51123825;23220532;27903293
24-04-24 14:03;51123825;23220534;27903291
24-04-24 14:08;51123825;23220534;27903291
24-04-24 14:13;51123825;23220535;27903290
24-04-24 14:18;51123825;23220535;27903290
24-04-24 14:23;51123825;23220537;27903288
24-04-24 14:28;51123825;23220537;27903288
24-04-24 14:33;51123825;23220539;27903286
24-04-24 14:38;51123825;23220539;27903286
24-04-24 14:43;51123825;23220541;27903284
24-04-24 14:48;51123825;23220541;27903284
24-04-24 14:53;51123825;23220551;27903274
24-04-24 14:58;51123825;23220538;27903287
24-04-24 15:03;51123825;23220540;27903285
24-04-24 15:08;51123825;23220544;27903281
24-04-24 15:13;51123825;23220546;27903279
24-04-24 15:18;51123825;23220546;27903279
24-04-24 15:23;51123825;23220550;27903275
24-04-24 15:28;51123825;23220550;27903275
24-04-24 15:33;51123825;23220577;27903248
24-04-24 15:38;51123825;23220557;27903268
24-04-24 15:43;51123825;23220558;27903267
24-04-24 15:48;51123825;23220558;27903267
24-04-24 15:53;51123825;23220559;27903266
24-04-24 15:58;51123825;23220559;27903266
24-04-24 16:03;51123825;23220562;27903263
